ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Garage,Équipement_de_la_cuisine,Type_de_chauffage,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_du_séjour,Nombre_de_salles_de_bain,Nombre_de_toilettes,Panneaux_solaires,Type_de_vitrage,Parlophone,Accessible_aux_moins_valides,Étage_de_lappartement,Nombre_détages_de_limmeuble,Surface_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Emission_de_CO2,Bien_actuellement_loué,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Nombre_de_Garages,Nombre_de_douches,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Référence_PEB,Date_de_validité_PEB,Porte_de_garage_motorisée,Clef_électronique,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Raccordé_aux_égouts,Citerne_à_eau_de_pluie,Orientation_du_jardin,Conso_annuelle_totale_dénergie_primaire,Type_de_cuisine,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Station_de_charge_électrique,Largeur_de_la_façade,Largeur_du_terrain_à_rue,Surface_du_bureau,Surface_des_caves,Surface_salle_à_manger,Nombre_de_place_de_parking_intérieur,Pompe_à_chaleur,Attestation__Citernes_à_mazout,Maison_basse_énergie,Compteur_Bihoraire,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Surface_du_garage,Adoucisseur_deau,Surface_du_grenier
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc88775,VBC88775,Maison à vendre,250000,Rue Ernest Montulet 78 Grange,5310 Éghezée,À rénover,A l’acte,1,222 m²,Non,Oui,Non équipée,Non specifié,Non,Sud,3,2,Oui,Oui,100 m²,pas d'application,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc85618,VBC85618,Appartement à vendre,,Chaussée de Louvain 42,5310 Éghezée,Nouveau,,2,88 m²,Non,,Super équipée,,Oui,,4,,Oui,Oui,,,Information non communiquée,Information non communiquée,2025,13 m²,11 m²,33 m²,1,2,Oui,Double vitrage,Oui,Oui,1,3,79 m²,15 m²,Nord-ouest,Non,68 kWh/m²/an,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc85617,VBC85617,Appartement à vendre,,Chaussée de Louvain 42,5310 Éghezée,Nouveau,,2,89 m²,Non,,Super équipée,,Oui,,4,,,Oui,,,Information non communiquée,Information non communiquée,2025,13 m²,11 m²,33 m²,1,2,Oui,Double vitrage,Oui,Oui,2,3,,18 m²,Nord-ouest,Non,68 kWh/m²/an,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/taviers/vbc83783,VBC83783,Maison à vendre,230000,Route de la Hesbaye 165,5310 Taviers,À rénover,,5,300 m²,Non,Oui,,Mazout,Non,Nord,3,,Oui,Oui,911 m²,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,1970,,,40 m²,1,3,,,,,,,664 m²,20 m²,,,406 kWh/m²/an,100,Non,Non,Oui,Non,Non,Non,Non,Non,1,3,367 m²,48 m,Oui,Oui,20200602010102,02/06/2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbb78055,VBB78055,Appartement à vendre,359000,Rue Gaston Dancot 385,5310 Éghezée,Nouveau,Immédiatement,2,118 m²,Non,Oui,Equipée,,Non,,,1,,Oui,,,Information non communiquée,Information non communiquée,,12 m²,12 m²,30 m²,1,1,Oui,Double vitrage,,Non,2,,,90 m²,,Non,54 kWh/m²/an,9,Non,Non,Non,Non,Non,Non,Non,Non,,,118 m²,,Oui,Oui,RWPEB-123182,,Non,Non,17 m²,7 m²,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5310/eghezee/vbc79822,VBC79822,Immeuble mixte à vendre,1295000,Rue Joseph Henry 4,5310 Éghezée,À restaurer,A l’acte,21,1390 m²,,,,Non specifié,Non,,4,13,Oui,Oui,3091 m²,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,2026,14 m²,13 m²,,15,,,Double vitrage,,Oui,,2,1223 m²,215 m²,Sud,Non,,,Non,,,,,,,,,15,,,,Oui,,,,,,,,,,,,,,,,,,12 m²,11 m²,11 m²,Non,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc78959,VBC78959,Maison à vendre,390000,Rue du Château 38E,5310 Éghezée,Excellent,A l’acte,2,176 m²,Non,,Super équipée,Gaz,Non,Sud,2,2,Oui,Oui,424 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,1582,14 m²,13 m²,59 m²,2,3,,Double vitrage,,Non,,2,350 m²,25 m²,Sud,Non,177 kWh/m²/an,37,Non,,Oui,,,,,,,,,,Oui,Oui,,19/01/2032,,,,,,,,,,,,,,,,,,,Non,,Sud,31266 kWh/an,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc78523,VBC78523,Appartement à vendre,235000,Route de gembloux 13 C,5310 Éghezée,Excellent,A l’acte,2,78 m²,Non,,Semi-équipée,Mazout,Oui,,2,1,Oui,,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,1999,14 m²,10 m²,29 m²,1,1,,Double vitrage,Oui,Non,,1,2000 m²,,,Non,179 kWh/m²/an,46,Non,,,,,,,,,1,,,,Oui,,22/03/2033,,,11 m²,4 m²,,,,,,,,,Non,,,,,,Oui,,,15619 kWh/an,Kitchenette,Oui,Non,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc77501,VBC77501,Maison à vendre,399000,Rue du Bois l'Abbé 19,5310 Éghezée,Excellent,A l’acte,3,119 m²,Non,,,Gaz,Non,Nord,4,3,Oui,Oui,1078 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2019,21 m²,13 m²,26 m²,1,2,Oui,Double vitrage,Oui,Non,,1,830 m²,43 m²,Sud-ouest,Non,103 kWh/m²/an,21,Non,,Oui,,,,,,,1,,,Oui,Oui,,10/02/2030,,,7 m²,,,,Oui,,Oui,,,,Non,,,12 m²,,,Oui,Oui,,15719 kWh/an,,Oui,,Oui,12 m,12 m,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/hanret/vbc76206,VBC76206,Appartement à vendre,260000,Route de Champion 74A 5,5310 Hanret,Normal,A l’acte,3,125 m²,Non,,Super équipée,,Non,Nord-ouest,4,2,Oui,Non,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2006,,,,1,1,,,,,0,2,38 m²,,,,318 kWh/m²/an,1224,,,,,,,,,,,294 m²,28 m,,Oui,20220218019460,18/02/2032,,,,,,,,,,,,,,,,,,,,,,40149 kWh/an,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/leuze/vbc76131,VBC76131,Maison à vendre,249000,Rue de la Terre Franche 139,5310 Leuze,À rénover,A l’acte,2,,,,,Mazout,,Sud-ouest,4,2,Oui,,,,Information non communiquée,Information non communiquée,,38 m²,33 m²,33 m²,,1,Non,Double vitrage,,,,,,,,,627 kWh/m²/an,,Non,Oui,Non,Non,Non,Non,Non,Non,,1,,,,,20250505023657,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,49 m,33 m²,10 m²,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc74552,VBC74552,Maison à vendre,,,5310 Éghezée,Normal,,7,1025 m²,,Oui,Super équipée,Mazout,Non,,4,,Oui,Oui,16677 m²,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,1900,80 m²,20 m²,47 m²,6,5,,Double vitrage,,Non,,3,16000 m²,80 m²,Sud,Oui,193 kWh/m²/an,48,,Oui,Oui,,Oui,,,,3,2,,,,,,15/04/2025,,,27 m²,,,,,,Oui,,,,,,,22 m²,14 m²,19 m²,Oui,,,142096 kWh/an,,,,,,,18 m²,,36 m²,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/noville-sur-mehaigne/vbc74314,VBC74314,Maison à vendre,180000,Rue du Village 39,5310 Noville-sur-Méhaigne,À rénover,A l’acte,3,,,Oui,,Mazout,,Sud,3,2,Oui,,920 m²,,Information non communiquée,Information non communiquée,,17 m²,13 m²,46 m²,,1,Non,,,,,2,,,,,625 kWh/m²/an,,Non,Non,Oui,Non,Non,Non,Non,Non,,,,65 m,,,20250504006378,,,,,,,,,,,,,,,,,7 m²,,,Oui,,,,,,,,14 m,,,,,2,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc64655,VBC64655,Maison à vendre,649000,Rue Ernest Montulet 78 Maison,5310 Éghezée,,A l’acte,5,400 m²,Non,,Super équipée,Gaz,Non,Sud-ouest,3,2,Oui,Oui,15391 m²,pas d'application,Information non communiquée,Information non communiquée,1834,,,78 m²,2,2,,,,,,,,,,Oui,153 kWh/m²/an,,,,,,,,,,,2,,,Oui,Oui,20240514016066,14/05/2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc62931,VBC62931,Appartement à vendre,220000,Route de Gembloux 26 002,5310 Éghezée,,,2,,Non,,Super équipée,Mazout,Non,Nord-est,,,Non,Oui,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,1,1,,,,,1,2,,,,,212 kWh/m²/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/liernu/vbc45475,VBC45475,Maison à vendre,405000,,5310 Liernu,Normal,,5,210 m²,Non,,Super équipée,Gaz,Non,Est,3,4,Oui,Oui,903 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2016,,,46 m²,,3,,,,,,,450 m²,8 m²,,,118 kWh/m²/an,23,Non,Non,Non,Non,Non,Non,Non,Non,,3,,,,Oui,20220311500639,11/03/2032,,,,,,,,,,,,,,,,,,,,,,26623 kWh/an,,,,,10 m,,24 m²,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc27783,VBC27783,Appartement à vendre,486000,,5310 Éghezée,Nouveau,A l’acte,3,200 m²,Non,,Super équipée,Gaz,Oui,Ouest,4,2,Non,Oui,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2024,,,54 m²,2,1,,,,,2,3,,11 m²,,,77 kWh/m²/an,15,Non,Non,Oui,Non,Non,Non,Non,Non,,,209 m²,,,,20250218503086,,,,,,,,,,,,,,,Oui,,,,,,,,14328 kWh/an,,Oui,Oui,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/aische-en-refail/vba87665,VBA87665,Maison à vendre,415000,,5310 Aische-en-Refail,Nouveau,,4,133 m²,Non,,,Air pulsé,Non,,,2,Oui,Oui,625 m²,,Information non communiquée,Information non communiquée,2024,20 m²,10 m²,24 m²,2,2,Oui,Double vitrage,,,,,,,,,,,,,Oui,,Oui,,,,,415,,,,Oui,,,,,9 m²,,,,,,,,,,,,,11 m²,,,Oui,Oui,,,,,,,,,,,14 m²,,Oui,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/aische-en-refail/vba08029,VBA08029,Maison à vendre,420000,,5310 Aische-en-Refail,Normal,Immédiatement,4,226 m²,Non,Oui,Super équipée,Mazout,Non,Sud,3,,Oui,Oui,1053 m²,pas d'application,Information non communiquée,Information non communiquée,1930,,,50 m²,2,3,,,,,,,,,,,238 kWh/m²/an,,,,Oui,,,,,,1,,,,,Oui,20230628029673,28/06/2033,,,,,,,,,,,,,,,,,,,,,,69267 kWh/an,,,,,,,25 m²,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vaw51155,VAW51155,Maison à vendre,520000,,5310 Éghezée,Normal,Immédiatement,4,180 m²,Non,Oui,Super équipée,Mazout,Non,Nord-est,4,4,Oui,Non,1277 m²,"oui, attestation conforme",Information non communiquée,Information non communiquée,2008,,,45 m²,2,3,,,,,,,1000 m²,,,,,,,,,,,,,,1,,,65 m,,,20170614025248,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc88775,VBC88775,Maison à vendre,250000,Rue Ernest Montulet 78 Grange,5310 Éghezée,À rénover,A l’acte,1,222 m²,Non,Oui,Non équipée,Non specifié,Non,Sud,3,2,Oui,Oui,100 m²,pas d'application,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc85618,VBC85618,Appartement à vendre,,Chaussée de Louvain 42,5310 Éghezée,Nouveau,,2,88 m²,Non,,Super équipée,,Oui,,4,,Oui,Oui,,,Information non communiquée,Information non communiquée,2025,13 m²,11 m²,33 m²,1,2,Oui,Double vitrage,Oui,Oui,1,3,79 m²,15 m²,Nord-ouest,Non,68 kWh/m²/an,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc85617,VBC85617,Appartement à vendre,,Chaussée de Louvain 42,5310 Éghezée,Nouveau,,2,89 m²,Non,,Super équipée,,Oui,,4,,,Oui,,,Information non communiquée,Information non communiquée,2025,13 m²,11 m²,33 m²,1,2,Oui,Double vitrage,Oui,Oui,2,3,,18 m²,Nord-ouest,Non,68 kWh/m²/an,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/taviers/vbc83783,VBC83783,Maison à vendre,230000,Route de la Hesbaye 165,5310 Taviers,À rénover,,5,300 m²,Non,Oui,,Mazout,Non,Nord,3,,Oui,Oui,911 m²,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,1970,,,40 m²,1,3,,,,,,,664 m²,20 m²,,,406 kWh/m²/an,100,Non,Non,Oui,Non,Non,Non,Non,Non,1,3,367 m²,48 m,Oui,Oui,20200602010102,02/06/2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbb78055,VBB78055,Appartement à vendre,359000,Rue Gaston Dancot 385,5310 Éghezée,Nouveau,Immédiatement,2,118 m²,Non,Oui,Equipée,,Non,,,1,,Oui,,,Information non communiquée,Information non communiquée,,12 m²,12 m²,30 m²,1,1,Oui,Double vitrage,,Non,2,,,90 m²,,Non,54 kWh/m²/an,9,Non,Non,Non,Non,Non,Non,Non,Non,,,118 m²,,Oui,Oui,RWPEB-123182,,Non,Non,17 m²,7 m²,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5310/eghezee/vbc79822,VBC79822,Immeuble mixte à vendre,1295000,Rue Joseph Henry 4,5310 Éghezée,À restaurer,A l’acte,21,1390 m²,,,,Non specifié,Non,,4,13,Oui,Oui,3091 m²,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,2026,14 m²,13 m²,,15,,,Double vitrage,,Oui,,2,1223 m²,215 m²,Sud,Non,,,Non,,,,,,,,,15,,,,Oui,,,,,,,,,,,,,,,,,,12 m²,11 m²,11 m²,Non,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc78959,VBC78959,Maison à vendre,390000,Rue du Château 38E,5310 Éghezée,Excellent,A l’acte,2,176 m²,Non,,Super équipée,Gaz,Non,Sud,2,2,Oui,Oui,424 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,1582,14 m²,13 m²,59 m²,2,3,,Double vitrage,,Non,,2,350 m²,25 m²,Sud,Non,177 kWh/m²/an,37,Non,,Oui,,,,,,,,,,Oui,Oui,,19/01/2032,,,,,,,,,,,,,,,,,,,Non,,Sud,31266 kWh/an,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc78523,VBC78523,Appartement à vendre,235000,Route de gembloux 13 C,5310 Éghezée,Excellent,A l’acte,2,78 m²,Non,,Semi-équipée,Mazout,Oui,,2,1,Oui,,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,1999,14 m²,10 m²,29 m²,1,1,,Double vitrage,Oui,Non,,1,2000 m²,,,Non,179 kWh/m²/an,46,Non,,,,,,,,,1,,,,Oui,,22/03/2033,,,11 m²,4 m²,,,,,,,,,Non,,,,,,Oui,,,15619 kWh/an,Kitchenette,Oui,Non,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc77501,VBC77501,Maison à vendre,399000,Rue du Bois l'Abbé 19,5310 Éghezée,Excellent,A l’acte,3,119 m²,Non,,,Gaz,Non,Nord,4,3,Oui,Oui,1078 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2019,21 m²,13 m²,26 m²,1,2,Oui,Double vitrage,Oui,Non,,1,830 m²,43 m²,Sud-ouest,Non,103 kWh/m²/an,21,Non,,Oui,,,,,,,1,,,Oui,Oui,,10/02/2030,,,7 m²,,,,Oui,,Oui,,,,Non,,,12 m²,,,Oui,Oui,,15719 kWh/an,,Oui,,Oui,12 m,12 m,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/hanret/vbc76206,VBC76206,Appartement à vendre,260000,Route de Champion 74A 5,5310 Hanret,Normal,A l’acte,3,125 m²,Non,,Super équipée,,Non,Nord-ouest,4,2,Oui,Non,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2006,,,,1,1,,,,,0,2,38 m²,,,,318 kWh/m²/an,1224,,,,,,,,,,,294 m²,28 m,,Oui,20220218019460,18/02/2032,,,,,,,,,,,,,,,,,,,,,,40149 kWh/an,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/leuze/vbc76131,VBC76131,Maison à vendre,249000,Rue de la Terre Franche 139,5310 Leuze,À rénover,A l’acte,2,,,,,Mazout,,Sud-ouest,4,2,Oui,,,,Information non communiquée,Information non communiquée,,38 m²,33 m²,33 m²,,1,Non,Double vitrage,,,,,,,,,627 kWh/m²/an,,Non,Oui,Non,Non,Non,Non,Non,Non,,1,,,,,20250505023657,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,49 m,33 m²,10 m²,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc74552,VBC74552,Maison à vendre,,,5310 Éghezée,Normal,,7,1025 m²,,Oui,Super équipée,Mazout,Non,,4,,Oui,Oui,16677 m²,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,1900,80 m²,20 m²,47 m²,6,5,,Double vitrage,,Non,,3,16000 m²,80 m²,Sud,Oui,193 kWh/m²/an,48,,Oui,Oui,,Oui,,,,3,2,,,,,,15/04/2025,,,27 m²,,,,,,Oui,,,,,,,22 m²,14 m²,19 m²,Oui,,,142096 kWh/an,,,,,,,18 m²,,36 m²,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/noville-sur-mehaigne/vbc74314,VBC74314,Maison à vendre,180000,Rue du Village 39,5310 Noville-sur-Méhaigne,À rénover,A l’acte,3,,,Oui,,Mazout,,Sud,3,2,Oui,,920 m²,,Information non communiquée,Information non communiquée,,17 m²,13 m²,46 m²,,1,Non,,,,,2,,,,,625 kWh/m²/an,,Non,Non,Oui,Non,Non,Non,Non,Non,,,,65 m,,,20250504006378,,,,,,,,,,,,,,,,,7 m²,,,Oui,,,,,,,,14 m,,,,,2,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vbc64655,VBC64655,Maison à vendre,649000,Rue Ernest Montulet 78 Maison,5310 Éghezée,,A l’acte,5,400 m²,Non,,Super équipée,Gaz,Non,Sud-ouest,3,2,Oui,Oui,15391 m²,pas d'application,Information non communiquée,Information non communiquée,1834,,,78 m²,2,2,,,,,,,,,,Oui,153 kWh/m²/an,,,,,,,,,,,2,,,Oui,Oui,20240514016066,14/05/2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc62931,VBC62931,Appartement à vendre,220000,Route de Gembloux 26 002,5310 Éghezée,,,2,,Non,,Super équipée,Mazout,Non,Nord-est,,,Non,Oui,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,1,1,,,,,1,2,,,,,212 kWh/m²/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/liernu/vbc45475,VBC45475,Maison à vendre,405000,,5310 Liernu,Normal,,5,210 m²,Non,,Super équipée,Gaz,Non,Est,3,4,Oui,Oui,903 m²,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2016,,,46 m²,,3,,,,,,,450 m²,8 m²,,,118 kWh/m²/an,23,Non,Non,Non,Non,Non,Non,Non,Non,,3,,,,Oui,20220311500639,11/03/2032,,,,,,,,,,,,,,,,,,,,,,26623 kWh/an,,,,,10 m,,24 m²,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5310/eghezee/vbc27783,VBC27783,Appartement à vendre,486000,,5310 Éghezée,Nouveau,A l’acte,3,200 m²,Non,,Super équipée,Gaz,Oui,Ouest,4,2,Non,Oui,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2024,,,54 m²,2,1,,,,,2,3,,11 m²,,,77 kWh/m²/an,15,Non,Non,Oui,Non,Non,Non,Non,Non,,,209 m²,,,,20250218503086,,,,,,,,,,,,,,,Oui,,,,,,,,14328 kWh/an,,Oui,Oui,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/aische-en-refail/vba87665,VBA87665,Maison à vendre,415000,,5310 Aische-en-Refail,Nouveau,,4,133 m²,Non,,,Air pulsé,Non,,,2,Oui,Oui,625 m²,,Information non communiquée,Information non communiquée,2024,20 m²,10 m²,24 m²,2,2,Oui,Double vitrage,,,,,,,,,,,,,Oui,,Oui,,,,,415,,,,Oui,,,,,9 m²,,,,,,,,,,,,,11 m²,,,Oui,Oui,,,,,,,,,,,14 m²,,Oui,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/aische-en-refail/vba08029,VBA08029,Maison à vendre,420000,,5310 Aische-en-Refail,Normal,Immédiatement,4,226 m²,Non,Oui,Super équipée,Mazout,Non,Sud,3,,Oui,Oui,1053 m²,pas d'application,Information non communiquée,Information non communiquée,1930,,,50 m²,2,3,,,,,,,,,,,238 kWh/m²/an,,,,Oui,,,,,,1,,,,,Oui,20230628029673,28/06/2033,,,,,,,,,,,,,,,,,,,,,,69267 kWh/an,,,,,,,25 m²,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5310/eghezee/vaw51155,VAW51155,Maison à vendre,520000,,5310 Éghezée,Normal,Immédiatement,4,180 m²,Non,Oui,Super équipée,Mazout,Non,Nord-est,4,4,Oui,Non,1277 m²,"oui, attestation conforme",Information non communiquée,Information non communiquée,2008,,,45 m²,2,3,,,,,,,1000 m²,,,,,,,,,,,,,,1,,,65 m,,,20170614025248,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5330/assesse/vbc80259,VBC80259,Maison à vendre,399000,Place Communale 3 1,5330 Assesse,Nouveau,Immédiatement,3,145 m²,Non,,,,Non,,,1,,Oui,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,13 m²,13 m²,42 m²,2,2,Oui,Double vitrage,,Non,,,,31 m²,,Non,84 kWh/m²/an,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,Non,Oui,20250219019692,,Non,Non,9 m²,8 m²,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/5330/assesse/vbc51607,VBC51607,Duplex à vendre,399000,Place Communale 3 1,5330 Assesse,Nouveau,Immédiatement,3,,Non,,Equipée,,Non,,,1,,Oui,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,13 m²,15 m²,42 m²,2,2,Oui,Double vitrage,,Non,0,,,31 m²,,Non,84 kWh/m²/an,,Non,Non,Non,Non,Non,Non,Non,Non,,,139 m²,,Non,Oui,20250219019692,,Non,Non,9 m²,3 m²,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5330/assesse/vbc54956,VBC54956,Appartement à vendre,259000,Place Communale 3 Droite,5330 Assesse,Nouveau,Immédiatement,2,,Non,,Equipée,,Non,,,1,,Oui,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,10 m²,13 m²,27 m²,1,1,Oui,Double vitrage,,Non,0,,,20 m²,,Non,79 kWh/m²/an,,Non,Non,Non,Non,Non,Non,Non,Non,,,87 m²,,Non,Oui,20250227006671,,Non,Non,27 m²,5 m²,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5330/assesse/vbc86843,VBC86843,Maison à vendre,300000,,5330 Assesse,À rénover,,3,166 m²,Non,,Semi-équipée,Mazout,Non,,4,,Oui,Non,795 m²,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,,,14 m²,1,2,,,,,,2,795 m²,,,,542 kWh/m²/an,134,Non,Non,Oui,Non,Non,Non,Non,Non,,,,,,Oui,,19/05/2035,,,,,,,,,,,,,,,,,,,,,,120288 kWh/an,,,,,1 m,,,,,,,,,,,,,,
